No.,Location,ID,위험정도,일반영상,열화상영상,레이블영상,주소
1,wadong-dong,1,1,RGB0,THR0,LAB0,경기 파주시 와동동 1517
2,wadong-dong,1,1,RGB1,THR1,LAB1,경기 파주시 와동동 1517
3,wadong-dong,1,1,RGB2,THR2,LAB2,경기 파주시 와동동 1517
4,wadong-dong,1,1,RGB3,THR3,LAB3,경기 파주시 와동동 1517
5,wadong-dong,1,1,RGB4,THR4,LAB4,경기 파주시 와동동 1517
6,wadong-dong,1,1,RGB5,THR5,LAB5,경기 파주시 와동동 1517
7,wadong-dong,1,0,RGB6,THR6,LAB6,경기 파주시 와동동 1517
8,wadong-dong,1,2,RGB7,THR7,LAB7,경기 파주시 와동동 1517
9,wadong-dong,1,0,RGB8,THR8,LAB8,경기 파주시 와동동 1517
10,wadong-dong,1,0,RGB9,THR9,LAB9,경기 파주시 와동동 1517
11,wadong-dong,1,0,RGB10,THR10,LAB10,경기 파주시 와동동 1517
12,wadong-dong,1,0,RGB11,THR11,LAB11,경기 파주시 와동동 1517
13,wadong-dong,1,0,RGB12,THR12,LAB12,경기 파주시 와동동 1517
14,wadong-dong,1,0,RGB13,THR13,LAB13,경기 파주시 와동동 1517
15,wadong-dong,1,0,RGB14,THR14,LAB14,경기 파주시 와동동 1517
16,wadong-dong,1,0,RGB15,THR15,LAB15,경기 파주시 와동동 1517
17,wadong-dong,1,0,RGB16,THR16,LAB16,경기 파주시 와동동 1517
18,wadong-dong,1,0,RGB17,THR17,LAB17,경기 파주시 와동동 1517
19,wadong-dong,1,0,RGB18,THR18,LAB18,경기 파주시 와동동 1517
20,wadong-dong,1,0,RGB19,THR19,LAB19,경기 파주시 와동동 1517
21,wadong-dong,1,0,RGB20,THR20,LAB20,경기 파주시 와동동 1517
22,wadong-dong,1,0,RGB21,THR21,LAB21,경기 파주시 와동동 1517
23,wadong-dong,2,0,RGB22,THR22,LAB22,경기 파주시 와동동 1502
24,wadong-dong,2,0,RGB23,THR23,LAB23,경기 파주시 와동동 1502
25,wadong-dong,2,1,RGB24,THR24,LAB24,경기 파주시 와동동 1502
26,wadong-dong,2,0,RGB25,THR25,LAB25,경기 파주시 와동동 1502
27,wadong-dong,2,0,RGB26,THR26,LAB26,경기 파주시 와동동 1502
28,wadong-dong,2,0,RGB27,THR27,LAB27,경기 파주시 와동동 1502
29,wadong-dong,2,0,RGB28,THR28,LAB28,경기 파주시 와동동 1502
30,wadong-dong,2,0,RGB29,THR29,LAB29,경기 파주시 와동동 1502
31,wadong-dong,2,0,RGB30,THR30,LAB30,경기 파주시 와동동 1502
32,wadong-dong,2,0,RGB31,THR31,LAB31,경기 파주시 와동동 1502
33,wadong-dong,2,0,RGB32,THR32,LAB32,경기 파주시 와동동 1502
34,wadong-dong,2,0,RGB33,THR33,LAB33,경기 파주시 와동동 1502
35,wadong-dong,2,1,RGB34,THR34,LAB34,경기 파주시 와동동 1502
36,wadong-dong,2,0,RGB35,THR35,LAB35,경기 파주시 와동동 1502
37,wadong-dong,2,0,RGB36,THR36,LAB36,경기 파주시 와동동 1502
38,wadong-dong,2,0,RGB37,THR37,LAB37,경기 파주시 와동동 1502
39,wadong-dong,2,0,RGB38,THR38,LAB38,경기 파주시 와동동 1502
40,wadong-dong,2,1,RGB39,THR39,LAB39,경기 파주시 와동동 1502
41,wadong-dong,2,1,RGB40,THR40,LAB40,경기 파주시 와동동 1502
42,wadong-dong,2,1,RGB41,THR41,LAB41,경기 파주시 와동동 1502
43,wadong-dong,2,1,RGB42,THR42,LAB42,경기 파주시 와동동 1502
44,wadong-dong,2,1,RGB43,THR43,LAB43,경기 파주시 와동동 1502
45,wadong-dong,2,1,RGB44,THR44,LAB44,경기 파주시 와동동 1502
46,wadong-dong,2,1,RGB45,THR45,LAB45,경기 파주시 와동동 1502
47,wadong-dong,2,1,RGB46,THR46,LAB46,경기 파주시 와동동 1502
48,wadong-dong,2,1,RGB47,THR47,LAB47,경기 파주시 와동동 1502
49,wadong-dong,2,0,RGB48,THR48,LAB48,경기 파주시 와동동 1502
50,wadong-dong,2,1,RGB49,THR49,LAB49,경기 파주시 와동동 1502
51,wadong-dong,2,1,RGB50,THR50,LAB50,경기 파주시 와동동 1502
52,wadong-dong,2,1,RGB51,THR51,LAB51,경기 파주시 와동동 1502
53,wadong-dong,2,1,RGB52,THR52,LAB52,경기 파주시 와동동 1502
54,wadong-dong,2,1,RGB53,THR53,LAB53,경기 파주시 와동동 1502
55,wadong-dong,2,1,RGB54,THR54,LAB54,경기 파주시 와동동 1502
56,wadong-dong,2,1,RGB55,THR55,LAB55,경기 파주시 와동동 1502
57,wadong-dong,2,1,RGB56,THR56,LAB56,경기 파주시 와동동 1502
58,wadong-dong,2,1,RGB57,THR57,LAB57,경기 파주시 와동동 1502
59,wadong-dong,2,1,RGB58,THR58,LAB58,경기 파주시 와동동 1502
60,wadong-dong,2,1,RGB59,THR59,LAB59,경기 파주시 와동동 1502
61,wadong-dong,2,1,RGB60,THR60,LAB60,경기 파주시 와동동 1502
62,wadong-dong,2,1,RGB61,THR61,LAB61,경기 파주시 와동동 1502
63,wadong-dong,2,1,RGB62,THR62,LAB62,경기 파주시 와동동 1502
64,wadong-dong,2,1,RGB63,THR63,LAB63,경기 파주시 와동동 1502
65,wadong-dong,2,1,RGB64,THR64,LAB64,경기 파주시 와동동 1502
66,wadong-dong,2,1,RGB65,THR65,LAB65,경기 파주시 와동동 1502
67,wadong-dong,2,1,RGB66,THR66,LAB66,경기 파주시 와동동 1502
68,wadong-dong,2,1,RGB67,THR67,LAB67,경기 파주시 와동동 1502
69,wadong-dong,2,1,RGB68,THR68,LAB68,경기 파주시 와동동 1502
70,wadong-dong,2,1,RGB69,THR69,LAB69,경기 파주시 와동동 1502
71,wadong-dong,2,1,RGB70,THR70,LAB70,경기 파주시 와동동 1502
72,wadong-dong,2,1,RGB71,THR71,LAB71,경기 파주시 와동동 1502
73,wadong-dong,2,1,RGB72,THR72,LAB72,경기 파주시 와동동 1502
74,wadong-dong,2,1,RGB73,THR73,LAB73,경기 파주시 와동동 1502
75,wadong-dong,2,1,RGB74,THR74,LAB74,경기 파주시 와동동 1502
76,wadong-dong,2,1,RGB75,THR75,LAB75,경기 파주시 와동동 1502
77,wadong-dong,2,1,RGB76,THR76,LAB76,경기 파주시 와동동 1502
78,wadong-dong,2,1,RGB77,THR77,LAB77,경기 파주시 와동동 1502
